member_casual,hour_of_day,trip_count
casual,0,34064
casual,1,22561
casual,2,14070
casual,3,7871
casual,4,6387
casual,5,11542
casual,6,27721
casual,7,51081
casual,8,71983
casual,9,71984
casual,10,87497
casual,11,111219
casual,12,130038
casual,13,135479
casual,14,141833
casual,15,156906
casual,16,176575
casual,17,188601
casual,18,161591
casual,19,118299
casual,20,86163
casual,21,72262
casual,22,62831
casual,23,44923
member,0,30954
member,1,19069
member,2,10908
member,3,7545
member,4,8384
member,5,33149
member,6,97873
member,7,191423
member,8,245486
member,9,166307
member,10,145267
member,11,168418
member,12,191838
member,13,190016
member,14,191285
member,15,238011
member,16,327568
member,17,372348
member,18,289889
member,19,202108
member,20,140304
member,21,108839
member,22,78945
member,23,49705
